name,costPrice,sellingPrice,description,um,code,category
Vinegar - White,27529.54,44380.69,"Supplement L Low Leg Subcu/Fascia w Synth Sub, Open",kg,V9210,goods
"Fish - Halibut, Cold Smoked",27356.95,16092.86,"Drainage of Left Metacarpocarpal Joint, Perc Endo Approach",kg,W16121A,goods
Wine - Ej Gallo Sierra Valley,23417.09,20325.5,"Supplement Left Vas Deferens with Nonaut Sub, Open Approach",kg,H2700,goods
Broom - Corn,22808.6,47996.9,"Drainage of Scrotum, Percutaneous Approach",kg,O1221,goods
Garbage Bag - Clear,15006.35,36611.26,Tomo Nucl Med Imag of Chest & Abd using Indium 111,kg,M89061,goods
"Sole - Dover, Whole, Fresh",36623.31,48717.5,"Release Right Thyroid Gland Lobe, Perc Endo Approach",kg,S72042D,goods
Garbag Bags - Black,11825.01,21087.53,"Dilate L Int Mamm Art, Bifurc, w Intralum Dev, Open",kg,V891XXD,goods
Creme De Menth - White,40760.02,38575.4,"Drainage of Left Femoral Shaft with Drain Dev, Open Approach",kg,S72421E,goods
Skewers - Bamboo,42635.17,9248.62,"Excision of Left Temporomandibular Joint, Open Approach",kg,S7102,goods
Wine - Bouchard La Vignee Pinot,14457.07,4511.83,"Drainage of Right Acetabulum, Perc Endo Approach, Diagn",kg,T83590A,goods
Basil - Fresh,15016.73,29344.09,"Dilate L Renal Art, Bifurc, w 2 Drug-elut, Perc Endo",kg,S280XXD,goods
Pork Ham Prager,6827.63,10896.56,"Revision of Int Fix in L Sternoclav Jt, Open Approach",kg,S72346B,goods
Oranges,42911.92,25293.4,"Reposition Splenic Vein, Open Approach",kg,S51059D,goods
Turkey - Ground. Lean,35781.87,7395.63,"Nuclear Medicine, Lymph & Hemat Sys, Planar Nucl Med Imag",kg,H1133,goods
Cheese - La Sauvagine,39168.93,44588.66,"Occlusion of Hemorrhoidal Plexus, Open Approach",kg,E10610,goods
Flavouring Vanilla Artificial,9476.25,21627.84,Therapeutic Exercise Treatment of Circ Body using Prosthesis,kg,F10230,goods
Butter - Unsalted,3302.6,11685.73,"Removal of Synthetic Substitute from Low Back, Open Approach",kg,S52613K,goods
"Veal - Tenderloin, Untrimmed",3060.69,24549.53,"Excision of Left Lacrimal Duct, Via Opening, Diagn",kg,H3502,goods
Mushroom Morel Fresh,20455.71,54937.74,"Reposition Left Metatarsal-Phalangeal Joint, Perc Approach",kg,Q7181,goods
Tuna - Bluefin,16336.9,4582.79,"Irrigation of Bil/Panc Tract using Irrigat, Endo, Diagn",kg,S31521S,goods
Sunflower Seed Raw,44918.64,22757.76,"Restriction of Left Femoral Vein, Perc Endo Approach",kg,I6980,goods
Cheese - Sheep Milk,36478.57,50032.99,"Bypass R Kidney Pelvis to L Ureter w Synth Sub, Perc Endo",kg,M86562,goods
Jagermeister,16843.25,17260.05,"Division of Left Zygomatic Bone, Open Approach",kg,C7989,goods
Wine - Ej Gallo Sonoma,5940.84,30226.69,"Release Left Inferior Parathyroid Gland, Perc Approach",kg,D030,goods
Wine - Magnotta - Bel Paese White,27075.42,33150.99,"Division of Right Upper Arm Muscle, Percutaneous Approach",kg,M80862G,goods
Pastry - Trippleberry Muffin - Mini,33539.46,2251.57,"Bypass R Subclav Art to L Pulm Art w Nonaut Sub, Open",kg,M0821,goods
Seaweed Green Sheets,28728.48,52686.5,CT Scan of R Humerus using H Osm Contrast,kg,S63263D,goods
"Shrimp - 16/20, Iqf, Shell On",43506.61,12902.17,"Dilation of Bi Vas Deferens with Intralum Dev, Perc Approach",kg,G934,goods
Wine - Ej Gallo Sierra Valley,5365.72,19896.19,"Revise of Monitor Dev in Up Intest Tract, Perc Endo Approach",kg,E715,goods
Ham - Cooked,43879.52,46503.87,"Bypass L Hypogast Vein to Low Vein w Autol Vn, Open",kg,S52133F,goods
Vanilla Beans,22982.03,26155.66,"Drainage of Penis, Percutaneous Endoscopic Approach, Diagn",kg,V600XXD,goods
Table Cloth 62x114 White,31210.03,2448.89,"Imaging, Male Reproductive System, Fluoroscopy",kg,S62638P,goods
"Pail - 4l White, With Handle",4048.2,693.98,"Dilation of R Int Carotid, Bifurc, Perc Approach",kg,P0517,goods
Soup - French Can Pea,31882.47,34226.61,"Replacement of Left Lens with Intraoc Telescp, Perc Approach",kg,S66124,goods
"Bread - Crumbs, Bulk",1451.17,50802.48,"Inspection of Left Ankle Joint, External Approach",kg,S82191M,goods
Soup - Verve - Chipotle Chicken,24247.5,24492.24,"Bypass R Ext Iliac Art to L Femor A w Nonaut Sub, Perc Endo",kg,H3301,goods
Cinnamon Rolls,21299.63,36851.82,"Excision of Right Tympanic Membrane, Open Approach, Diagn",kg,S45101D,goods
Salt - Celery,1815.67,34912.61,"Extirpation of Matter from Adenoids, Open Approach",kg,T8182,goods
Vinegar - Champagne,37818.44,14800.6,"Reposition Left Acromioclavicular Joint, Open Approach",kg,S83011D,goods
Cinnamon - Stick,17934.06,1289.21,"Monitoring of Temperature, Via Natural or Artificial Opening",kg,S6105,goods
Huck Towels White,32747.32,15556.59,"Drainage of Buccal Mucosa, Open Approach, Diagnostic",kg,J1529,goods
Calvados - Boulard,8048.96,8733.52,"Resection of Bilateral Vas Deferens, Open Approach",kg,S96101,goods
Island Oasis - Lemonade,11074.32,9565.73,"Insertion of Int Fix into R Ankle Jt, Perc Endo Approach",kg,H5012,goods
Huck Towels White,15342.91,46150.14,"Supplement Sacrum with Autol Sub, Open Approach",kg,H95132,goods
"Soup - Campbells, Chix Gumbo",9814.56,34228.27,"Dilate of Bi Fallopian Tube with Intralum Dev, Perc Approach",kg,S42225D,goods
Pineapple - Golden,31288.5,8873.46,"Destruction of Left External Ear, External Approach",kg,S42112D,goods
Sprouts - Onion,17758.17,17282.52,"Drainage of Duodenum, Percutaneous Approach, Diagnostic",kg,D441,goods
Lid - 3oz Med Rec,37044.98,18069.38,"Insert of Infusion Dev into R Face Vein, Perc Endo Approach",kg,M25476,goods
Beef - Eye Of Round,41476.43,53182.37,"Release Left Renal Artery, Percutaneous Endoscopic Approach",kg,M80879G,goods
Icecream - Dstk Strw Chseck,11207.07,49095.53,"Revision of Intraluminal Device in Right Eye, Endo",kg,P598,goods
Snails - Large Canned,20672.69,48703.03,"Drainage of Left Lower Leg Tendon, Open Approach",kg,T378X1A,goods
"Sole - Dover, Whole, Fresh",12498.68,35211.79,"Extirpation of Matter from L Toe Phalanx Jt, Open Approach",kg,T433X4D,goods
Spinach - Baby,333.79,28789.8,"Revision of Radioactive Element in Uterus and Cervix, Endo",kg,M06279,goods
"Pork - Loin, Bone - In",295.22,26868.06,"Insertion of Infusion Device into Penis, Perc Approach",kg,H44733,goods
Yoplait Drink,38183.5,20867.13,"Replacement of R Radial Art with Nonaut Sub, Open Approach",kg,S0123XD,goods
Sobe - Lizard Fuel,11159.0,35949.34,"Excision of Right Rib, Open Approach, Diagnostic",kg,T24231D,goods
Icecream - Dibs,28606.06,48730.83,"Extirpation of Matter from L Ext Iliac Vein, Open Approach",kg,V891XXS,goods
Coffee - Espresso,10106.78,19584.19,"Insertion of Int Fix into L Finger Phalanx Jt, Open Approach",kg,G7241,goods
"Lamb - Pieces, Diced",40189.32,54317.11,"Bypass Left Common Iliac Artery to R Int Ilia, Open Approach",kg,S82191A,goods
Ecolab - Hobart Upr Prewash Arm,3298.1,23913.84,"Dilation of 4+ Cor Art with 3 Intralum Dev, Open Approach",kg,S66991S,goods
Bread Ww Cluster,6026.95,1167.16,"Occlusion of Left Large Intestine, Percutaneous Approach",kg,T23012A,goods
Truffle Cups - Red,17791.04,18952.49,"Revision of Extraluminal Device in Vas Deferens, Endo",kg,R402313,goods
"Juice - Apple, 341 Ml",15314.14,23473.11,Low Dose Rate (LDR) Brachytherapy of Ileum using Iridium 192,kg,O350,goods
Phyllo Dough,21301.38,21450.79,"Dilate R Temporal Art, Bifurc, w 4+ Intralum Dev, Perc",kg,S62253S,goods
Pork - Belly Fresh,7364.38,27072.36,"Bypass Descend Colon to Sigm Colon w Autol Sub, Open",kg,F15951,goods
Oil - Hazelnut,25711.54,6080.09,"Release Acoustic Nerve, Percutaneous Endoscopic Approach",kg,O30099,goods
Sour Puss Sour Apple,9152.7,13452.87,Muscle Perform Trmt Integu Up Back/UE w Oth Equip,kg,S638X2,goods
Raisin - Golden,327.02,37149.28,"Excision of Left Lung, Via Natural or Artificial Opening",kg,S42321P,goods
Berry Brulee,28896.05,14536.39,"Release Lumbar Sympathetic Nerve, Percutaneous Approach",kg,S42294P,goods
Muffin Batt - Choc Chk,41382.29,6381.68,"Transplantation of Right Kidney, Zooplastic, Open Approach",kg,S2601XS,goods
Fireball Whisky,37946.21,45456.06,"Excision of Left Vitreous, Percutaneous Approach, Diagnostic",kg,S41039D,goods
Soy Protein,26493.68,23870.27,"Removal of Drainage Device from Hepatobil Duct, Via Opening",kg,V36,goods
Fudge - Chocolate Fudge,41516.76,35937.99,"Replace R Low Leg Skin w Autol Sub, Full Thick, Extern",kg,V9085XD,goods
Lettuce - Green Leaf,32453.95,3233.81,Beam Radiation of Eye using Neutrons,kg,I7029,goods
Extract - Raspberry,17607.81,5185.11,"Insertion of Int Fix into R Elbow Jt, Open Approach",kg,M84353A,goods
Cheese Cloth No 60,4323.13,39520.93,"Transfuse Autol Antihemophilic in Periph Art, Open",kg,H40011,goods
Numi - Assorted Teas,12863.39,46363.5,"Bypass L Femor Vein to Low Vein w Autol Sub, Perc Endo",kg,S09301,goods
"Cheese - Havarti, Salsa",17093.78,6057.9,"Drainage of Lower Gingiva, Percutaneous Approach",kg,S89001,goods
Pork - Bacon Cooked Slcd,11186.24,19853.92,"Release Right Greater Saphenous Vein, Percutaneous Approach",kg,T63892,goods
Wine - Vouvray Cuvee Domaine,37306.23,15146.92,"Bypass R Ureter to Bladder w Nonaut Sub, Perc Endo",kg,S52022B,goods
Samosa - Veg,21839.06,39361.25,"Dilate L Fem Art, Bifurc, w 2 Intralum Dev, Perc Endo",kg,Y35191A,goods
Chocolate Bar - Reese Pieces,14561.54,38734.95,"Supplement Pulm Trunk with Nonaut Sub, Perc Endo Approach",kg,M84561D,goods
Calypso - Lemonade,27821.44,30946.3,"Reposition Left Mandible with Int Fix, Perc Endo Approach",kg,T361X3S,goods
"Dill - Primerba, Paste",786.34,15241.95,Muscle Perform Assess Neuro Low Back/LE w Orthosis,kg,T23679,goods
Kaffir Lime Leaves,39921.56,5993.54,"Introduce Oth Diagn Subst in Cran Cav/Brain, Open",kg,L89130,goods
Venison - Striploin,8853.1,51702.62,"Bypass Cystic Duct to Common Bile Duct, Perc Endo Approach",kg,S61300,goods
Pork - Backfat,35595.0,4488.73,"Restriction of Urethra, Open Approach",kg,M488,goods
Oil - Cooking Spray,35618.34,39819.68,"Drainage of Rectum, Via Natural or Artificial Opening, Diagn",kg,S52692C,goods
Sauce - Oyster,35735.56,27447.11,"Revision of Spacer in L Metatarsophal Jt, Perc Endo Approach",kg,S92023A,goods
Wine - Vineland Estate Semi - Dry,9759.03,20240.71,"Removal of Nonaut Sub from L Knee Jt, Perc Endo Approach",kg,T8069XD,goods
Syrup - Chocolate,24472.88,34392.96,"Supplement Lower Vein with Nonaut Sub, Open Approach",kg,S49192A,goods
Syrup - Kahlua Chocolate,24350.33,26328.12,"Drainage of Right Radius, Open Approach, Diagnostic",kg,S91105S,goods
Oranges,20972.02,11484.02,"Revision of Autol Sub in Mediastinum, Extern Approach",kg,M12839,goods
"Sauce - Soya, Light",29817.04,1703.3,"Replace of Low Tooth, Mult, with Synth Sub, Open Approach",kg,H505,goods
Chick Peas - Dried,246.09,13995.81,"Insertion of Ext Fix into L Tarsal Jt, Perc Endo Approach",kg,T6482XA,goods
Everfresh Products,2659.94,29236.42,"Replacement of Left Iris with Nonaut Sub, Perc Approach",kg,S14125D,goods
Tart - Butter Plain Squares,37973.16,234.21,"Excision of Right Kidney Pelvis, Perc Endo Approach",kg,K451,goods
Bagel - Whole White Sesame,7358.88,30401.64,"Revision of Autol Sub in R Rib, Perc Approach",kg,V9411,goods
Container Clear 8 Oz,4878.83,51036.01,"Drainage of Right Shoulder Muscle, Perc Endo Approach",kg,S99119K,goods
Lobster - Cooked,37328.5,119.57,"Replacement of L Vocal Cord with Nonaut Sub, Open Approach",kg,T510X3S,goods
Mix - Cocktail Strawberry Daiquiri,37694.61,15461.83,Removal of Intermittent Pressure Device on Left Upper Leg,kg,X0819XD,goods
Crab - Meat,7822.09,2047.54,"Release Left Innominate Vein, Perc Endo Approach",kg,T86852,goods
Coffee - Almond Amaretto,7048.93,20139.94,CT Scan of R Ankle using L Osm Contrast,kg,D1622,goods
Wine - Gewurztraminer Pierre,24802.48,25212.89,"Drainage of Upper Vein with Drainage Device, Open Approach",kg,F808,goods
Sauce - Hp,8493.34,44218.36,"Fusion 2-6 C Jt w Intbd Fus Dev, Ant Appr A Col, Perc Endo",kg,M452,goods
"Tomatoes - Cherry, Yellow",34135.65,3308.29,"Revision of Drain Dev in Uterus & Cervix, Perc Endo Approach",kg,D630,goods
Olives - Stuffed,36074.9,41496.49,"Planar Nucl Med Imag Skin, Subcu & Breast w Oth Radionuclide",kg,S46892A,goods
Melon - Watermelon Yellow,24108.31,33466.29,"Replacement of Left Ureter with Nonaut Sub, Open Approach",kg,J704,goods
Beans - Kidney White,11420.36,30106.03,"Drainage of Scrotum, Open Approach, Diagnostic",kg,S6140,goods
Wine - Placido Pinot Grigo,21278.6,53473.69,"Revision of Infusion Device in GI Tract, Open Approach",kg,T83418A,goods
"Cookies - Oreo, 4 Pack",15762.99,33274.48,"Alteration of Left Shoulder Region, Percutaneous Approach",kg,S82016R,goods
"Cup - 6oz, Foam",42790.04,31023.01,"Supplement Left Elbow Joint with Nonaut Sub, Open Approach",kg,S21459A,goods
Oats Large Flake,18173.37,54153.01,"Dilate Aort Valve w Drug-elut Intra, Perc Endo",kg,S42015P,goods
Soup - Campbells Pasta Fagioli,43845.81,10653.56,"Assistance with Resp Ventilation, 24-96 Hrs, Cont Neg Air",kg,S99039G,goods
"Tea - Darjeeling, Azzura",2496.91,31467.56,"Lower Arteries, Inspection",kg,S42472S,goods
Food Colouring - Red,42889.94,23442.52,"Excision of Left Tibia, Percutaneous Endoscopic Approach",kg,T38902A,goods
Banana - Green,22479.78,52269.51,"Introduction of Destructive Agent into Bil/Panc Tract, Endo",kg,T17928,goods
"Tart Shells - Savory, 2",34288.12,49337.9,"Dilate Splenic Art, Bifurc, w 2 Intralum Dev, Open",kg,M1021,goods
Thyme - Dried,42366.79,19101.61,"Bypass R Ext Carotid to R Extracran Art w Nonaut Sub, Open",kg,S92061P,goods
Pork Loin Bine - In Frenched,29337.75,13584.16,"Drainage of Para-aortic Body, Open Approach, Diagnostic",kg,S22028K,goods
"Beef - Kindney, Whole",14089.64,4373.49,"Drainage of R Int Jugular Vein, Perc Approach, Diagn",kg,M67932,goods
Muffin Orange Individual,34132.4,33312.39,"Dilate Mid Colic Art, Bifurc, w 3 Drug-elut, Perc Endo",kg,S83204S,goods
Juice - Apple 284ml,44022.46,2297.61,"Excision of Right External Ear, Open Approach, Diagnostic",kg,S59119G,goods
Crackers - Soda / Saltins,28605.16,33221.1,"Revision of Drain Dev in Cisterna Chyli, Perc Endo Approach",kg,T2631XS,goods
Pan Grease,808.33,40883.51,"Replacement of L Low Femur with Synth Sub, Open Approach",kg,M89421,goods
"Squash - Pattypan, Yellow",44787.66,6257.02,Tinnitus Masker Assessment,kg,T81503S,goods
"Stock - Beef, Brown",19077.57,49344.66,"Drainage of Left Vertebral Artery, Perc Endo Approach, Diagn",kg,T17490,goods
"Garlic - Primerba, Paste",11595.22,17795.95,"Repair Left Large Intestine, Via Opening",kg,K8530,goods
Bread - Hot Dog Buns,19017.58,41860.17,"Dilation of Splenic Artery, Percutaneous Approach",kg,G009,goods
"Tart Shells - Sweet, 4",6665.17,28302.71,"Introduce of Radioact Subst into Periton Cav, Perc Approach",kg,M61049,goods
Black Currants,38157.89,17631.63,"Reposition Acoustic Nerve, Percutaneous Approach",kg,S06350S,goods
Soy Protein,17334.34,37277.68,"Restriction of Low Esophag with Extralum Dev, Perc Approach",kg,Z85030,goods
Pepper - Cubanelle,28948.62,35141.8,"Excision of Left Acromioclavicular Joint, Perc Approach",kg,S82143F,goods
"Shrimp, Dried, Small / Lb",12135.92,16402.4,Beam Radiation of Trachea using Electrons,kg,M50922,goods
Turkey Tenderloin Frozen,27659.37,25537.88,"Bypass Ascending Colon to Transverse Colon, Open Approach",kg,S82872S,goods
Table Cloth 90x90 White,38789.31,43883.31,"Removal of Infusion Device from T-lum Jt, Extern Approach",kg,S20219D,goods
Gelatine Leaves - Bulk,30567.95,34991.13,"Revision of Synth Sub in R Toe Phalanx Jt, Open Approach",kg,O9A319,goods
Cassis,2752.77,51133.28,"Drainage of L Neck Lymph with Drain Dev, Open Approach",kg,F152,goods
Uniform Linen Charge,34656.7,12796.76,"Repair Scalp Subcutaneous Tissue and Fascia, Perc Approach",kg,V9509XA,goods
Pate Pans Yellow,16178.4,28053.85,"Repair Right Knee Bursa and Ligament, Open Approach",kg,M8780,goods
Remy Red Berry Infusion,38448.66,9332.75,"Monitoring of Respiratory Resistance, Via Opening",kg,S79139,goods
Pepper - Pablano,43490.64,13155.73,HDR Brachytherapy of Ureter using Iodine 125,kg,Z21,goods
Cheese - Cheddar With Claret,26009.03,53411.37,"Occlusion of Right Renal Vein, Open Approach",kg,T23222D,goods
Aspic - Light,20912.98,48351.03,"Dilation of Upper Artery with Drug-elut Intra, Perc Approach",kg,V9182XA,goods
Sprouts - Peppercress,2401.92,8003.63,"Remove Implant Heart Assist from Heart, Perc Endo",kg,T63301A,goods
Shortbread - Cookie Crumbs,17718.59,3963.76,"Repair Right Shoulder Muscle, Perc Endo Approach",kg,S34111S,goods
Wine - Ej Gallo Sierra Valley,29092.69,2927.55,"Dilate R Com Iliac Art w Drug-elut Intra, Perc Endo",kg,S62321G,goods
Banana - Green,26320.27,45400.99,"Fusion >7 T Jt w Autol Sub, Post Appr A Col, Open",kg,X038,goods
Bread - Ciabatta Buns,12886.05,18509.75,Magnetic Resonance Imaging (MRI) of Thoracic Spine,kg,S20411,goods
Spinach - Packaged,5290.58,43650.66,"Removal of Drainage Device from Hepatobiliary Duct, Endo",kg,T2060XS,goods
Bread - Corn Muffaletta,27802.82,46997.7,"Supplement Thoracic Vertebra with Synth Sub, Perc Approach",kg,T22561A,goods
Cheese Cheddar Processed,32481.06,2336.66,"Remove Nonaut Sub from Scrotum & Tunica, Perc Endo",kg,V539XXS,goods
Shrimp - Black Tiger 16/20,39846.07,23271.77,"Extraction of Nasal Turbinate, Perc Endo Approach",kg,T446X2S,goods
Carbonated Water - Wildberry,31380.13,34295.23,"Reattachment of L Trunk Bursa/Lig, Perc Endo Approach",kg,T447X3A,goods
Tea - Decaf 1 Cup,22943.82,17558.78,"Bypass R Pulm Art from Innom Art w Synth Sub, Open",kg,A924,goods
Extract Vanilla Pure,19652.32,37908.79,"Supplement Left Main Bronchus with Synth Sub, Open Approach",kg,S22048,goods
Soap - Hand Soap,1941.89,38890.52,"Extirpation of Matter from Right Hand Skin, Extern Approach",kg,S219,goods
Lettuce - Arugula,10203.13,52571.98,"Insertion of Epiret Prosth into R Eye, Open Approach",kg,M06051,goods
Pie Shell - 5,20495.96,14138.58,Hearing Screening Assessment using Sound Field / Booth,kg,S65192,goods
Easy Off Oven Cleaner,29802.71,15505.2,"Drainage of Pancreat Duct with Drain Dev, Perc Endo Approach",kg,H3312,goods
Samosa - Veg,1491.56,20762.62,"Supplement Duodenum with Synthetic Substitute, Open Approach",kg,S52254F,goods
Clams - Canned,23112.19,23024.95,"Replacement of Left Rib with Autol Sub, Perc Endo Approach",kg,S72032M,goods
Pork - Sausage Casing,43310.18,54760.88,"Destruction of Splenic Artery, Percutaneous Approach",kg,O368913,goods
Tarts Assorted,39420.48,40199.57,"Replace of L Acetabulum with Nonaut Sub, Perc Endo Approach",kg,S68610D,goods
Pasta - Fusili Tri - Coloured,25108.25,44999.84,Beam Radiation of Skull using Neutron Capture,kg,T498X6A,goods
Poppy Seed,23132.93,18913.44,"Bypass Splenic Art to B Renal A w Autol Art, Open",kg,O411430,goods
Skirt - 29 Foot,39953.54,54526.77,"Revision of Monitoring Device in Pleura, Endo",kg,S91139D,goods
Sweet Pea Sprouts,18639.18,1374.14,"Excision of Left Ankle Bursa and Ligament, Open Approach",kg,E135,goods
Pastry - Apple Muffins - Mini,8665.24,33108.09,"Occlusion Small Intest w Extralum Dev, Perc Endo",kg,M6383,goods
Plasticspoonblack,29158.78,53858.19,"Excision of Anus, Endo",kg,F1329,goods
"Vodka - Hot, Lnferno",26470.92,27376.88,"Excision of Transverse Colon, Via Opening, Diagn",kg,M84474A,goods
Soup - French Can Pea,24788.34,4735.54,"Extirpate matter from R Ext Iliac Vein, Perc Endo",kg,H741,goods
Long Island Ice Tea,36235.92,1767.7,"Bypass Right Hepatic Duct to Cystic Duct, Open Approach",kg,T7800XD,goods
Sesame Seed Black,5059.75,8955.34,"Inspection of Trachea, External Approach",kg,M63821,goods
Pepper - Cayenne,6657.17,41129.25,"Replacement of R Glenoid Cav with Autol Sub, Perc Approach",kg,S934,goods
V8 - Tropical Blend,33802.98,33423.67,"Extirpation of Matter from Cervix, Endo",kg,S66117,goods
Lid - 3oz Med Rec,1542.15,34446.79,"Excision of Right Hand Vein, Percutaneous Approach, Diagn",kg,S82852N,goods
Oil - Margarine,30276.13,30763.52,"Release Right Hand Muscle, Percutaneous Approach",kg,S52542,goods
Plasticspoonblack,13733.73,32584.89,Hyperthermia of Colon,kg,M4154,goods
External Supplier,6268.95,10348.31,"Change Drainage Device in Tracheobronc Tree, Extern Approach",kg,S62324G,goods
Hot Choc Vending,8852.74,39267.29,Muscle Perform Treatment of Musculosk Whole using Orthosis,kg,S72414Q,goods
"Juice - Apple, 1.36l",1681.18,25205.45,"Dilation of Splenic Vein, Percutaneous Endoscopic Approach",kg,F4324,goods
"Quail - Eggs, Fresh",19104.9,30345.23,"Introduce of Oth Therap Subst into Resp Tract, Via Opening",kg,M70041,goods
English Muffin,25794.31,25958.71,"Release Tongue, Open Approach",kg,H21259,goods
"Turnip - White, Organic",21208.14,5199.12,"Drainage of R Femor Vein with Drain Dev, Perc Endo Approach",kg,I6985,goods
Macaroons - Two Bite Choc,2178.35,4213.81,"Drainage of Head with Drainage Device, Open Approach",kg,O401XX5,goods
Coffee - Egg Nog Capuccino,11009.74,48981.19,Plain Radiography of R Salivary Gland using H Osm Contrast,kg,Q142,goods
Plasticspoonblack,3078.31,30558.48,"Revision of Nonaut Sub in L Low Extrem, Perc Approach",kg,E103529,goods
Pork Salted Bellies,10955.04,8202.16,"Supplement C-thor Disc with Autol Sub, Perc Approach",kg,S34115S,goods
"Veal - Shank, Pieces",41665.17,50569.29,"Dilate Sup Mesent Art, Bifurc, w 3 Intralum Dev, Open",kg,O43123,goods
Nantucket Pine Orangebanana,14436.41,43936.5,"Dilate R Subclav Art, Bifurc, w 4+ Intralum Dev, Open",kg,S25329S,goods
Island Oasis - Cappucino Mix,29777.87,37017.32,"Bypass Cecum to Descending Colon with Nonaut Sub, Endo",kg,O1402,goods
Butter - Unsalted,5557.38,22237.4,Immobilization of Right Lower Extremity using Splint,kg,G6282,goods
Sauce - Sesame Thai Dressing,24197.5,17307.16,Plain Radiography of L Up Extrem Lymph using L Osm Contrast,kg,M80021G,goods
"Juice - Tomato, 10 Oz",22450.61,41955.21,Planar Nucl Med Imag of R & L Heart using Oth Radionuclide,kg,C50211,goods
Silicone Paper 16.5x24,14171.52,21945.7,"Removal of Synth Sub from Low Bursa/Lig, Perc Endo Approach",kg,X30XXXD,goods
Lettuce - Frisee,6034.04,15616.69,"Replace of R Metatarsal with Nonaut Sub, Perc Endo Approach",kg,S68117A,goods
Sauce - Salsa,29489.63,18964.65,"Removal of Nonaut Sub from L Humeral Head, Open Approach",kg,V00821,goods
Apricots Fresh,42388.36,40739.01,"Insert of Hybrid Ext Fix into R Humeral Shaft, Perc Approach",kg,Q436,goods
Wine - Two Oceans Cabernet,3841.65,14118.44,"Drainage of Right Lower Leg, Open Approach, Diagnostic",kg,I2542,goods
Bacon Strip Precooked,21751.85,51774.17,"Drainage of Fetal CSF from POC, Open Approach",kg,M0505,goods
Cakes Assorted,24413.98,42903.17,"Resection of Right Thumb Phalanx, Open Approach",kg,S42155S,goods
Pie Pecan,43881.62,4580.44,"Reposition Right External Iliac Artery, Perc Endo Approach",kg,T170XXS,goods
Flax Seed,21922.34,49711.06,"Removal of Drainage Device from Ovary, Open Approach",kg,T63391D,goods
"Red Snapper - Fillet, Skin On",29758.34,53120.31,"Extirpation of Matter from Back Subcu/Fascia, Perc Approach",kg,S59239,goods
Cookies - Fortune,37539.29,31709.49,"Replace Perineum Subcu/Fascia w Autol Sub, Open",kg,E083541,goods
Momiji Oroshi Chili Sauce,26342.07,20855.87,"Removal of Drainage Device from Bone Marrow, Open Approach",kg,T387X1,goods
Yucca,33075.56,44699.67,"Removal of Drainage Device from Tracheobronchial Tree, Endo",kg,T23329D,goods
Caviar - Salmon,36935.45,38626.05,"Remove Infusion Dev from Up Extrem Subcu/Fascia, Extern",kg,S6621,goods
Appetizer - Cheese Bites,33212.71,48482.72,"Release Right Hip Muscle, External Approach",kg,S72113G,goods
Galliano,33409.94,44841.98,MRI of Abd Aorta using Oth Contrast,kg,T23649D,goods
Vinegar - Red Wine,34667.82,3012.37,"Drainage of L Low Arm Subcu/Fascia, Open Approach, Diagn",kg,T7401,goods
Lettuce - Lolla Rosa,7399.04,13890.55,LDR Brachytherapy of Testis using Iridium 192,kg,T39391S,goods
Island Oasis - Lemonade,28625.76,9557.43,"Inspection of Liver, External Approach",kg,T407X5A,goods
Soupfoamcont12oz 112con,8249.8,30533.72,"Release Right Lower Extremity Lymphatic, Perc Approach",kg,S82024,goods
Beef - Eye Of Round,30379.81,31557.31,"Repair Vagus Nerve, Percutaneous Approach",kg,M67471,goods
Eggs - Extra Large,13848.45,6103.06,"Replacement of Coccyx with Nonaut Sub, Open Approach",kg,N259,goods
"Chicken - Leg, Boneless",22762.5,15174.07,"Removal of Int Fix from L Acromioclav Jt, Extern Approach",kg,T7119,goods
"Bread - Crumbs, Bulk",21083.97,37582.04,"Destruction of L Low Arm & Wrist Muscle, Open Approach",kg,S3763XS,goods
Versatainer Nc - 888,3087.42,32025.84,"Drain of L Hand Subcu/Fascia with Drain Dev, Open Approach",kg,S50319S,goods
Sauce Bbq Smokey,30705.38,2003.41,"Excision of Face Subcu/Fascia, Open Approach, Diagn",kg,S7630,goods
Otomegusa Dashi Konbu,29820.36,18213.48,"Supplement Right 3rd Toe with Autol Sub, Open Approach",kg,S50822S,goods
Wine - Red Oakridge Merlot,41962.63,45098.45,Stereotactic Other Photon Radiosurgery of Rectum,kg,T22751D,goods
Eggplant - Regular,20812.29,26320.87,Magnetic Resonance Imaging (MRI) of Ear using Other Contrast,kg,S60412,goods
Oregano - Fresh,24505.57,34223.36,"Bypass Abd Aorta to B Renal A with Autol Art, Open Approach",kg,A527,goods
Cabbage - Savoy,37575.55,53609.53,"Transfer R Up Arm Subcu/Fascia, Open Approach",kg,H15013,goods
Pork - Inside,31203.2,29836.36,"Destruction of Left Lacrimal Duct, Endo",kg,S22052K,goods
"Bread - White, Sliced",32629.22,42184.88,"Bypass L Face Vein to Up Vein with Autol Sub, Open Approach",kg,W5311XA,goods
"Sugar - Brown, Individual",7426.63,13192.24,"Repair Eye in Products of Conception, Endo",kg,S62231P,goods
Wine - Vineland Estate Semi - Dry,21946.48,25330.87,Beam Radiation of Neck Skin using Electrons,kg,S52034R,goods
Tea - Green,39430.11,20109.81,"Revision of Ext Fix in L Toe Phalanx Jt, Extern Approach",kg,S72433G,goods
